review,rating,restaurant,type
The burgers here are pretty great and I would recommend you try them out.  They have a great menu selection and the prices are very reasonable.,5,Harlem Shake,Hamburger restaurant
Wait to long expansive,3,Harlem Shake,Hamburger restaurant
"Service is so-so, during the summer here in Harlem you can't enjoy the atmosphere because there is no central air conditioning to keep cool, the food was horrible due to net keeping up with replacing the spoiled food with fresh ones and ",1,Harlem Shake,Hamburger restaurant
Omg I'm addicted to there cheeseburgers with the curly fries and the spicy mayo it comes with just tops off the whole meal.,5,Harlem Shake,Hamburger restaurant
"If youre going to have coffee written on your light up sign outdoor, I expect to be able to order coffee. I was told this was not a coffee place when I went to order and instead was recommended a coffee shake. It was $10 ( alcoholic with ",1,Harlem Shake,Hamburger restaurant
Taste good,5,Harlem Shake,Hamburger restaurant
"Food is really bad, I ordered through Uber eats and it wasnt a pleasant experience.... they forgot one of our drinks and the fries were extremely salty and overly seasoned.",1,Harlem Shake,Hamburger restaurant
The food was good and the shakes were AWESOME!!!,5,Harlem Shake,Hamburger restaurant
"Great burgers, fries and shakes!",5,Harlem Shake,Hamburger restaurant
Not worth what you pay for. Expensive little portions,1,Harlem Shake,Hamburger restaurant
The food is always great but terrible because they didn't tell us that they didn't have heat like they usually do to sit outside and we was freezing. It wasn't pleasant eating while you was freezing. Fix that problem unless you want to ,2,Harlem Shake,Hamburger restaurant
The food is very delicious and the staff are very friendly.,5,Harlem Shake,Hamburger restaurant
"I returned to Harlem Shake today because I had such a great time there a few weeks ago, but I hadnt tried the food.  As previously, we were greeted by the dynamic bundle of positive energy that is C. Kelly Wright.  It is impossible not to ",3,Harlem Shake,Hamburger restaurant
That Impossible Burger! Hunnnyyy!!!!,5,Harlem Shake,Hamburger restaurant
A must try if visiting!Try the hot mess,5,Harlem Shake,Hamburger restaurant
Classic Harlem good food great music!,5,Harlem Shake,Hamburger restaurant
great place to eat a good burger,5,Harlem Shake,Hamburger restaurant
"As someone else so eloquently said previously, segregation is gross. The CDC guideline they quoted as the reason for their thoughtless signage was not even mandatory, simply advisory. Instead of having the generic ""masks not required for ",1,Harlem Shake,Hamburger restaurant
"Horrible experience. DO NOT ORDER FOOD FROM THEM. Did an Uber eats order with them on 6/9/2021. Not only did we have missing items but the burger was dry, looked disgusting and bad. The customer service is horrible as well. ",1,Harlem Shake,Hamburger restaurant
They using vaccination to seperate customers and this is uncalled for. People should not be ridiculed for taking the vaccine or choosing not to. We already know it has harmful effects and those who are eating ar the restaurant already can ,1,Harlem Shake,Hamburger restaurant
"I had a little issue ,with my order the manager, the manager resolved the issue great customer service I will go back for my Jamaican Jerk Burger Delicious",5,Harlem Shake,Hamburger restaurant
"Great local Harlem spot! I go here way too often! If you go during a lunch or dinner rush, you may have to wait a bit, but it's totally worth it. Delicious burgers, curly fries, and truffle fries!",5,Harlem Shake,Hamburger restaurant
Good service! The shakes are a tasteful delight. The burgers and fries were pretty good. Overall the food was hot and taste good!,4,Harlem Shake,Hamburger restaurant
I love Harlem Shake! Their chocolate milkshake is amazing!! Harlem shake has a courteous staff which fills the environment with laughter and culture.,5,Harlem Shake,Hamburger restaurant
Good good good burger! Didnt have the shake I wanted.,5,Harlem Shake,Hamburger restaurant
I went during elite week And because of my elite Yelp status I  was given a comp meal which included a  hot mess hamburger. Jerk fries and froze . I ended up purchasing a separate hot honey chicken Sammich and I was extra satisfied! ,4,Harlem Shake,Hamburger restaurant
Food was hot and fresh. Customer service was good as well. Would def recommend,5,Harlem Shake,Hamburger restaurant
Good food good service,4,Harlem Shake,Hamburger restaurant
Had truffle fries and a shake both were good. The Music was good. Took a little long. Overall good,4,Harlem Shake,Hamburger restaurant
Great hamburgers and milkshakes.,4,Harlem Shake,Hamburger restaurant
Great vibe. Great tasting burgers. Will be back!,5,Harlem Shake,Hamburger restaurant
 was really good.,4,Harlem Shake,Hamburger restaurant
Love the jerk burger & the jerk fries. ,4,Harlem Shake,Hamburger restaurant
"The burgers here are really freaking good and the menu selection is awesome. Only problem are the prices, It might cost you an arm and leg.",4,Harlem Shake,Hamburger restaurant
Super good service and food,5,Harlem Shake,Hamburger restaurant
Overpriced food and fries were cold didnt taste all that good but was not nasty either,2,Harlem Shake,Hamburger restaurant
It was cool..,5,Harlem Shake,Hamburger restaurant
"The place is very nice,the service is not like before..slow",2,Harlem Shake,Hamburger restaurant
I was cool and not crowded. There was seating inside and outside. The service was congenial.,4,Harlem Shake,Hamburger restaurant
"Amazing shakes. Love their jerk fries, burgers, and sandwiches. Harlem staple.",5,Harlem Shake,Hamburger restaurant
Nice food. Great service!!!!,5,Harlem Shake,Hamburger restaurant
"Food is good, some of the best chicken in Harlem, but ordering for delivery or pickup is not their best feature. First delivery a few months ago was more than an hour late -- and not even warm. Now that we live 5 blocks away, we tried ",3,Harlem Shake,Hamburger restaurant
"Burgers was amazing. Shake was okay. 1 burger plus 1 shake = $20 so be prepared to spend money. Also, be aware of the menu stating one price and then they charging you another price. Customer Service? ... the workers should get more training on that .. the workers can be GHETTO at times. Overall, I'll return.",4,Harlem Shake,Hamburger restaurant
"Really great shakes and burgers amazing workers, a lot of young people working so you have to check your order, one slim tall girl had an attitude  and said if people don't move she's going to flip out, other than that it's a really great place",5,Harlem Shake,Hamburger restaurant
Ive visited twice so far. There burgers are delicious!I enjoy the overall decor as well as the kindness of the majority of staff.It has a modern feel with LOTS of history. ,3,Harlem Shake,Hamburger restaurant
I love the impossible burger and Jerk Fries! Excellent!,5,Harlem Shake,Hamburger restaurant
Great service,5,Harlem Shake,Hamburger restaurant
Their hamburgers were out of this world,5,Harlem Shake,Hamburger restaurant
Great & fast  service during this covid situation ,5,Harlem Shake,Hamburger restaurant
Ok burgers.,4,Harlem Shake,Hamburger restaurant
One of the best service I ever get.,5,Harlem Shake,Hamburger restaurant
"Solid burgers served smash style. No service in the indoor part kinda turned me off, but decor is awesome and has great vibes. Worth swinging by at least once if you're in the hood",4,Harlem Shake,Hamburger restaurant
A Harlem classic.,5,Harlem Shake,Hamburger restaurant
I love the ,5,Harlem Shake,Hamburger restaurant
You just gotta get it. No reason to miss out.,4,Harlem Shake,Hamburger restaurant
Impossible burger + shake with a whisky shot? They got it,5,Harlem Shake,Hamburger restaurant
"Food is great. Lights were too dim though, which kind of put a funk in the mood.",4,Harlem Shake,Hamburger restaurant
It was my 1st time there to eat. I enjoyed it mucho much ,4,Harlem Shake,Hamburger restaurant
"Good burger, fast service at a fair price.",5,Harlem Shake,Hamburger restaurant
Imagine walking into the 40s and 50s where the Jet magazine plastered all over the bathroom walls and the seatings have that Grease feel where Danny and Sandy sit across each other.,5,Harlem Shake,Hamburger restaurant
Very friendly and professional service. Amazing food and great shakes. They will accommodate your needs. We loved it.,5,Harlem Shake,Hamburger restaurant
Always amazing,5,Harlem Shake,Hamburger restaurant
"Awesome fresh burgers, staff was superb, and we love stopping by. Food is a bit pricey though, and its always top-notch.",5,Harlem Shake,Hamburger restaurant
Food was delicious. Ordered online and picked up. Not too much of a wait even though they were busy.,5,Harlem Shake,Hamburger restaurant
"They are lovely people, and they cook amazing, I know it's a burguer...but c'mon! They know how make a good burger! Thanks!",5,Harlem Shake,Hamburger restaurant
"Nice staff, food was good too.  Strawberry shake tastes like vanilla  Other than that I like the place ",4,Harlem Shake,Hamburger restaurant
The food was OK but I loved the history of it.,4,Harlem Shake,Hamburger restaurant
I had a watermelon cooler and curly fries So good I haven't stopped thinking about them..,5,Harlem Shake,Hamburger restaurant
Nice atmosphere for a quick bite. Love how average burger joint staples are named in the menu. Good milk shake and drink options as well.,4,Harlem Shake,Hamburger restaurant
Excellent plant burger and truffle fries! Nice service with a smilePeace,5,Harlem Shake,Hamburger restaurant
"Nice and relaxing, I could go there every weekend. Wait till the weather breaks its the place to be.",5,Harlem Shake,Hamburger restaurant
This place is really good and consistent!  Always eat a little too much. ;),5,Harlem Shake,Hamburger restaurant
Delicious  dessert  and food,5,Harlem Shake,Hamburger restaurant
Very flavorful thick milkshakes. they're soooooo good,5,Harlem Shake,Hamburger restaurant
Great food and froze',5,Harlem Shake,Hamburger restaurant
The watermelon cooler is so refreshing.,5,Harlem Shake,Hamburger restaurant
"Hamburger are good, shakes not so good, fries are okey. I didnt know that I had to pay extra for tomatoes and lettuce so I need to go back again to the cashier to add it.",3,Harlem Shake,Hamburger restaurant
Come here every time I'm in Harlem. Definitely the best burgers and shakes in Harlem. Plenty of extras to customize your burger and delicious boozy milkshakes. Dining in needs to be reevaluated . The old school diner concept mixed with ,4,Harlem Shake,Hamburger restaurant
"Love it. A NYC must. Chocolate malt, burger with bacon, grilled mushrooms, onions, and cedar is a Five Star Burger. ",5,Harlem Shake,Hamburger restaurant
I've been frequenting this establishment since they opened. Many great memories made here. The staff is always excellent and friendly. Thank you guys for your service!!,5,Harlem Shake,Hamburger restaurant
Pricey but soo good. Milkshakes burgers fries are all great. Reminds me of shake shack burgers but a little different in a good way.,4,Harlem Shake,Hamburger restaurant
The SHAKE is life.,4,Harlem Shake,Hamburger restaurant
the red velvet shake is my favorite,4,Harlem Shake,Hamburger restaurant
Best burgers and fries in Harlem. We've ordered from there a lot during this pandemic and honestly it's been incredible every time we go there. 5/5 stars!!,5,Harlem Shake,Hamburger restaurant
"It's a Must to try their Milkshake, whatever it is!",5,Harlem Shake,Hamburger restaurant
"Good for for inexpensive price, dope vibe too",5,Harlem Shake,Hamburger restaurant
"Would love to see this place in a normal, non-pandemic setting bc the inside looks so fun. Very nice, warm, ventilated tent for safe outdoor dining. Definitely a good greasy spoon. Good burger, sweet potato fries and shake. Although the ",4,Harlem Shake,Hamburger restaurant
Cashiers Respectful and the food is delicious ,5,Harlem Shake,Hamburger restaurant
Burgers were great and fries and shake were good as well,4,Harlem Shake,Hamburger restaurant
Their food is really good. And customer service is on point,5,Harlem Shake,Hamburger restaurant
Never eaten there,1,Harlem Shake,Hamburger restaurant
2nd rate shake shack with awful customer service. Avoid.,1,Harlem Shake,Hamburger restaurant
Foodies alike beware it's horrible and not worth the money; especially if hungry hungry. Went there today for the first time and it was bad. The fries taste like old potatoes and soggy not fresh and crispy like other fast food places. The chicken fingers were hard as rock. And the chickpea salad was weird looking. Waste of money.,1,Harlem Shake,Hamburger restaurant
"Harlem Shake, cookies n cream and grilled cheese...all delicious!",5,Harlem Shake,Hamburger restaurant
Goos food nice place,5,Harlem Shake,Hamburger restaurant
It's worth the trip to visit and dine every time I'm in New York City!,5,Harlem Shake,Hamburger restaurant
"You can get some good burgers here. So far Hot Mess, Jerk Burger are my favorites. There milkshakes are thick and tasty. O and the chili cheese fries are good too.",5,Harlem Shake,Hamburger restaurant
"Best burger I've ever had, get the hot mess. I'm not even a burger fan.  And the shakes, with every calorie!",5,Harlem Shake,Hamburger restaurant
Food waa good and inexpensive.,5,Harlem Shake,Hamburger restaurant
"Personable, pleasant and delicious",5,Harlem Shake,Hamburger restaurant
Food amazing,5,Harlem Shake,Hamburger restaurant
Best burgers in the city,5,Harlem Shake,Hamburger restaurant
We went Sunday for the live music & vocalists in outside heated & enclosed side walk patio.,5,Harlem Shake,Hamburger restaurant
Nice service nice place,5,Harlem Shake,Hamburger restaurant
"This restaurant is a must visit when in NYC. Iconic for its history but also a very nice and diverse menu even for the vegetarian. Sometimes a live band and the staff are so friendly. Bring your friends and look at the wall of celebrities who visited the Harlem Shake. Now, go have some fun.",5,Harlem Shake,Hamburger restaurant
Good customer service however they will refuse your order 30 minutes before they close. It needs to be more brown employees. Like spanish and black or indian even asian because A young lady who works there acts as if she hates people in general and the neighborhood. The food is delicious,4,Harlem Shake,Hamburger restaurant
I never knew this place existed so I was pleasantly surprised when my friend took me here. Food is good though pricey. Highly recommend if you're in Harlem. Love that they have vegetarian options ,5,Harlem Shake,Hamburger restaurant
Good food but when I say no sauce they always put sauce on my burger.,4,Harlem Shake,Hamburger restaurant
always good,5,Harlem Shake,Hamburger restaurant
Great burger and shake,5,Harlem Shake,Hamburger restaurant
This place is amazing! In my list of top 5 burgers and fries. Especially the sweet yam fries! Check them out!,5,Harlem Shake,Hamburger restaurant
So I ordered this ahead of time through google's ordering system. For whatever reason it uses the delivery.com app even though Harlem Shake uses every ordering system. So I arrived to pick up my food and they had no history of my order on ,5,Harlem Shake,Hamburger restaurant
This place is doubtless one of the most pleasant restaurants in the neighborhood. Anytime I come to this place I am highly happy. They maintain their high  standard service and the topmost level of food  they serve. You no doubt will love this restaurant. Very  recommended.,5,Harlem Shake,Hamburger restaurant
Had the classic fried chicken sandwich....nice juicy breast and soft bun...jus Poppin,5,Harlem Shake,Hamburger restaurant
Very wonderful place to go and eat lunch!,5,Harlem Shake,Hamburger restaurant
This used to be a good location with great service and hot fresh food,5,Harlem Shake,Hamburger restaurant
"I love this diner, IMO one of the best in the city! Its unpretentious, but has solid food. I always have their veggie burgers and fries, and for the price it cant be beaten!",5,Harlem Shake,Hamburger restaurant
Awesome place for a burguer and a shake. They dont make the burguer rare because the kind of meat i think is different but it is tasty though. I dont give 5 stars because the mayo and ketchup envelops were dirty.,4,Harlem Shake,Hamburger restaurant
This place is love on a bun ,5,Harlem Shake,Hamburger restaurant
"Foods really good,  and they have quality control. So you will always get the right ",4,Harlem Shake,Hamburger restaurant
"This place reminded me of Mendocino farms. Very cute, spacious place with a rustic/hipster vibe. It's right across the courthouse and easy to miss amongst the surrounding businesses in Van Nuys.",3,Harlem Shake,Hamburger restaurant
I spent $15 on truffle fries and a small shake. But then they messed up my order and gave me normal fries. I could get the same thing at mcdonalds for like $2,1,Harlem Shake,Hamburger restaurant
"Food is fresh and delicious, it's a burger but I bet you can't replicate this fresh light burger at home especially not the turkey burger",5,Harlem Shake,Hamburger restaurant
Price to high for me but the food is good,5,Harlem Shake,Hamburger restaurant
Most of my food was cold.,1,Harlem Shake,Hamburger restaurant
I like it when I see it,5,Harlem Shake,Hamburger restaurant
Good burgers good people,5,Harlem Shake,Hamburger restaurant
Good fuud,5,Harlem Shake,Hamburger restaurant
Ambiance was nice. Fries were good. Burger patties lacked flavor & milkshakes were semi-ok. Wouldnt go back but it wasnt the worst burger joint out there.,2,Harlem Shake,Hamburger restaurant
"If you like or are even familiar with shake shack you will love Harlem Shake even more. Not only is the classic burger really good in the size it is but all not being dry or over cooked, you really have a variety of unique options to choose ",5,Harlem Shake,Hamburger restaurant
Great I was so excited to go and eat,4,Harlem Shake,Hamburger restaurant
Had a great time celebrating my wife's Birthday with family. The food was great and the customer service outstanding. Their staff had to deal with kids coming in to Trick or Treat and all of the customers orders. But they handled it very well. Thank you Harlem Shake. We were very happy customers.,5,Harlem Shake,Hamburger restaurant
Great place,5,Harlem Shake,Hamburger restaurant
Awesome food great shake try peanut butter shake,5,Harlem Shake,Hamburger restaurant
Holy mackerel. I went here right after the gym. #icheated #diet,5,Harlem Shake,Hamburger restaurant
Good food. Fast service.  Delivery is sometime wrong but they always fix it.,4,Harlem Shake,Hamburger restaurant
I WISH I COULD GIVE THIS PLACE NEGATIVE STARS. I also wish I had two more hands. To give it 4 thumbs down. ,1,Harlem Shake,Hamburger restaurant
Great service great food,5,Harlem Shake,Hamburger restaurant
The food was good and there was a live band,5,Harlem Shake,Hamburger restaurant
"I'm not really sure why they even bother with their delivery estimate times. I've ordered delivery 3 times and each time it's been outrageously late. I was really craving some cheese fries, so I hoping that number 4 would be different ",2,Harlem Shake,Hamburger restaurant
Yummy. Love the chicken sandwich,5,Harlem Shake,Hamburger restaurant
"The classic burger was very good and tasty and worth it. I got curly fries along with and strawberry shake so worth it , so coming back again  this was my second time here, first time i ordered a kids grill cheese which was cheese on ",5,Harlem Shake,Hamburger restaurant
This was a great treat for my sons and the food was delicious! I had a freshly my veggie burger that made my day! The boys loved the shakes!,4,Harlem Shake,Hamburger restaurant
Nice,5,Harlem Shake,Hamburger restaurant
"The burgers, fries and shakes were fantastic! Can't wait to go back!",5,Harlem Shake,Hamburger restaurant
"A lot of history, and the burgers are to die for",5,Harlem Shake,Hamburger restaurant
"Very nice place, excellent food, warm ambience. Authentic Korean dishes carefully prepared. Friendly and family service. Next time I go to NYC I will definetely go back there to meet Miss Oh and her team.  More",5,Mr Mista Oh,Korean restaurant
"Delicious food, stellar service, appreciate the outdoor seating option! We were a large group of vegetarians and had no problem finding delicious options to share.  More",5,Mr Mista Oh,Korean restaurant
This is the perfect place for meeting up with friends and sharing a meal and drinks. The food was delicious and the service was excellent. The family that owns the restaurant is very friendly and makes you feel very welcome. I would highly recommend and will definitely come back!  More,5,Mr Mista Oh,Korean restaurant
"My new favorite Korean spot, not just outside of Ktown but inclusive. You avoid the busy drunken crowds of 32nd street and somehow experience better service with very, very solid food. I'm fairly sure this is a mom-and-pop shop and it   More",5,Mr Mista Oh,Korean restaurant
"Food is excellent.Tried many things, loved all of them.",5,Mr Mista Oh,Korean restaurant
"Wandered in for the first time after seeing the good review ratings. I enjoyed the rustic-modern decor and the attentive service. I also enjoyed that my meal came on a sizzling hot plate. The meat I ordered (the jaeyook, the marinated spicy   More",5,Mr Mista Oh,Korean restaurant
"Very good restaurant, the room is nicely decorated, the dishes are hearty and tasty, the prices are quite reasonable!  More",5,Mr Mista Oh,Korean restaurant
"It's a Korean restaurant in Midtown, and offers a variety of menus in a cafe-like atmosphere. I tried the aged pork belly    More",5,Mr Mista Oh,Korean restaurant
Best bulgogi I've ever tried!  More,5,Mr Mista Oh,Korean restaurant
Nice find in NYC!The bulgogi was amazing as well as the sides! Service was also amazing!Highly recommend!  More,5,Mr Mista Oh,Korean restaurant
"The service was exceptional. We really enjoyed the mandoos, the bulgogis and their soup.  More",5,Mr Mista Oh,Korean restaurant
"It is our third time here. Wonderful, family restaurant. So nice service, so tasty food, great atmosphere, resonable prices, not crowded, cosy place, we love it and we will come back.  More",5,Mr Mista Oh,Korean restaurant
"Absolutely amazing! We went three times during our week-long stay in NYC. We had Teryaki Chicken, Mandoo, Japchae, Kimchi Jjigae and Kimchi Fried Rice, but we were so quick to eat it, we got photos only of Mandoo :) Every food we ordered   More",5,Mr Mista Oh,Korean restaurant
This is a delicious Korean restaurant that solved my craving for Korean food at once while traveling in the United States.I    More,5,Mr Mista Oh,Korean restaurant
"Great food, great service, very nice homey comfy vibes. The serving sizes are SO generous!",5,Mr Mista Oh,Korean restaurant
"Creative Korean fare, quite ample portions make it a good choice for hungry stomachs.  Sometimes I do feel the dishes are way too salty where it overwhelms the flavors, not sure if it was just the chef that night.",4,Mr Mista Oh,Korean restaurant
"Solid bulgogi, but pricy even for NYC",4,Mr Mista Oh,Korean restaurant
"Delicious, Tasty,  and Amazing! Wow! Impressed with the food and the customer service. I will be back! Excellent experience, thank you!",5,Mr Mista Oh,Korean restaurant
We had a 10 person reservation and it was handled expertly. The owner and her daughter who served us were so kind and respectful and made sure we had a fun and tasty time at the restaurant. Since someone in the group had a birthday they   More,5,Mr Mista Oh,Korean restaurant
We came here for dinner on a Friday night and there's no wait. We got the LA galbi and Bulgogi with the soup on the side. Everything was great and so were the side dishes. I love the LA Galbi but the portion is a bit small. The auntie is so   More,2,Mr Mista Oh,Korean restaurant
"Mom and pop Korean food! Solid taste, excellent service!  More",5,Mr Mista Oh,Korean restaurant
The stew was good but everything else was overpriced for what it was  More,4,Mr Mista Oh,Korean restaurant
"The food is sooo great, but the wine and beer list is a bit poor.",4,Mr Mista Oh,Korean restaurant
"Underwhelming tbh, food was mediocre. Seafood pancake was too soggy, wings were not seasoned well, dumplings/Mandoo were ok. Giving 4 stars for attentive service!  More",4,Mr Mista Oh,Korean restaurant
"Foods were good, But little pricy. The amount of food I get for the short rib was costing 41 dollar. But the short rib was very soft and favorful. The Seafood pancake is also recommended, They at least put in Seafood inside of the pancake. Nothing went wrong with the fried rice.  More",5,Mr Mista Oh,Korean restaurant
"Definitely a gem in this neighborhood. The place is nice and clean, and the service is great!!!!! When we told the owner that we were celebrating birthday, the owner immediately gave us a beautiful and fancy knife!! The kimchi jigae, rib soup and fries are AMAZING    More",5,Mr Mista Oh,Korean restaurant
"Delicious food, cozy place and friendly service. Galbi and japchae were perfectly made, staff was helpful with the menu and we loved the little details about the restaurant. Definitely recommended.  More",5,Mr Mista Oh,Korean restaurant
Down to earth Korean place with good food.  More,3,Mr Mista Oh,Korean restaurant
Tasty food but overpriced for the small portion.I would not complement the service. The waitress was very annoyed when I asked for a box to pack a bowl of rice.  More,3,Mr Mista Oh,Korean restaurant
"Great soups, great appetizers friendly staff",5,Mr Mista Oh,Korean restaurant
"Food was okay, but there were some kind of bugs running on the tables  mentioned that to the staff and answer was:  I guess you didnt know that its how we live in NYCWell I guess no.   More",1,Mr Mista Oh,Korean restaurant
This place is not $10-$20. Even the fries are $20. I walked out as soon as I got in because there seemed to be no server. Or they didnt come to my table the 5 minutes I sat there and I was the ONLY customer. Definitely not a welcoming place.  More,2,Mr Mista Oh,Korean restaurant
"Great food, a bit pricey but expected for the location. Service was excellent.  More",5,Mr Mista Oh,Korean restaurant
Pls don't read this if you are looking for meat options. Vegetarian dishes were really really bad for the exorbitant price. Very nice people and nice service though. I'd recommend hangawi for vegetarian dishes any day.  More,1,Mr Mista Oh,Korean restaurant
"Below average Korean food.  My stir fried beef bulgogi is served lukewarm.  Doesnt live up to the review score.  Frankly,  it will be hard to find something worse in k-town.  More",2,Mr Mista Oh,Korean restaurant
The food was served quickl   More,4,Mr Mista Oh,Korean restaurant
good food but portions became smaller,5,Mr Mista Oh,Korean restaurant
"The food was good, the service was great but the atmosphere where GARBAGE  THERE WERE COCKROACHES!!!! (Look at photos)  More",1,Mr Mista Oh,Korean restaurant
Great value and a homy taste  More,5,Mr Mista Oh,Korean restaurant
"Giving 5 stars since I can't give 4.6...I have gone here about 7 times now and every time, except this last visit, was   More",5,Mr Mista Oh,Korean restaurant
Decided to dine here last night. Almost passed out when I got the menu and saw the prices. $32 for chicken teriyaki. Seemed high even for New York prices. This better be good. And it was. The little sides that you get and the kimchi - it   More,4,Mr Mista Oh,Korean restaurant
"Not sure why this gets a 4.7 average review score, I found pretty much everything average. Not bad but not great, and not particularly good value neither.",3,Mr Mista Oh,Korean restaurant
"I am so happy I decided to try Mr Mista oh, instead of going to the fancy overpriced Korean bbq place a few minutes away. The food was amazing. Its not a fancy place but its very clean, food was quick and nice presentation, service was   More",4,Mr Mista Oh,Korean restaurant
Enjoyed yummy Korean food !  More,4,Mr Mista Oh,Korean restaurant
Inaccurate descriptions - the bulgogi cheese fries indicate that they come with cheese curds and they do not.  Also the dish is far overpriced for the portion.,2,Mr Mista Oh,Korean restaurant
"The place was clean and very cute! We had kimchi jjigae and bibimbab and both were nice. Kimchi jjigae tasted like Korean, bibimbab was good but could be better with more vegetables and sesame oil. I recommend!  More",5,Mr Mista Oh,Korean restaurant
"Soo good. Operated by a nice family. Nice, casual atmosphere. I had the pork belly for lunch, excellent, high quality ingredients too. Kimchi soup was the right amount of spicy (they have Korean miso too for those who don't like spicy).  More",5,Mr Mista Oh,Korean restaurant
We had a large party come in and they treated us so well! The food and drinks are amazing,5,Mr Mista Oh,Korean restaurant
"A newly opened Korean restaurant in the area, good food, not great. Interesting plastic green decor and neon signs. Good seafood pancake a bit oily. Large spicy pork and galbi bbqs, skip the mushroom one not worth the price. Loaded fries   More",4,Mr Mista Oh,Korean restaurant
"I love this place so much, Ive been here over 10 times! Not even counting the times I got delivery  ",5,Mr Mista Oh,Korean restaurant
Hidden gem! It has delicious soup and rice dishes with good service and a reasonable price ($13 + tips & tax p.p.). Would love to come back!  More,5,Mr Mista Oh,Korean restaurant
"Great vibe, quiet good music, amazing food.",5,Mr Mista Oh,Korean restaurant
